time,vel_theta1,vel_theta2,vel_d3,vel_theta4
225.616,-4.55092,-0.121004,0.852073,-3.45287
225.647,-4.52363,-0.121209,0.851911,-3.44199
225.677,-4.49682,-0.1216,0.851852,-3.43146
225.707,-4.46962,-0.122181,0.85189,-3.42091
225.737,-4.44203,-0.12295,0.852023,-3.41036
225.767,-4.41404,-0.123909,0.852252,-3.39979
225.797,-4.38567,-0.125057,0.852578,-3.38921
225.827,-4.3569,-0.126395,0.852999,-3.37862
225.857,-4.32774,-0.127921,0.853516,-3.36803
225.887,-4.29819,-0.129637,0.85413,-3.35742
225.917,-4.26824,-0.131542,0.854839,-3.3468
225.947,-4.23791,-0.133636,0.855644,-3.33617
225.977,-4.20718,-0.13592,0.856546,-3.32553
226.007,-4.17606,-0.138392,0.857543,-3.31488
226.037,-4.14455,-0.141054,0.858636,-3.30421
226.067,-4.11265,-0.143906,0.859826,-3.29354
226.097,-4.08036,-0.146946,0.861111,-3.28286
226.127,-4.04767,-0.150176,0.862492,-3.27217
226.157,-4.01459,-0.153595,0.86397,-3.26146
226.187,-3.98113,-0.157203,0.865543,-3.25075
226.217,-3.94726,-0.161,0.867212,-3.24002
226.247,-3.91301,-0.164987,0.868978,-3.22929
226.278,-3.87721,-0.169305,0.870903,-3.21818
226.308,-3.84216,-0.173676,0.872863,-3.20743
226.338,-3.80672,-0.178237,0.87492,-3.19666
226.368,-3.77088,-0.182987,0.877072,-3.18588
226.398,-3.73466,-0.187926,0.879321,-3.17509
226.428,-3.69804,-0.193054,0.881665,-3.16429
226.458,-3.66103,-0.198372,0.884106,-3.15348
226.488,-3.62363,-0.203879,0.886643,-3.14266
226.518,-3.58584,-0.209575,0.889275,-3.13183
226.548,-3.54766,-0.21546,0.892004,-3.12099
226.578,-3.50908,-0.221534,0.894828,-3.11014
226.608,-3.47012,-0.227798,0.897749,-3.09928
226.638,-3.43076,-0.234251,0.900765,-3.0884
226.668,-3.39101,-0.240893,0.903878,-3.07752
226.698,-3.35086,-0.247724,0.907086,-3.06663
226.728,-3.31033,-0.254745,0.910391,-3.05572
226.758,-3.2694,-0.261955,0.913791,-3.04481
226.788,-3.22809,-0.269354,0.917288,-3.03388
226.818,-3.18638,-0.276942,0.92088,-3.02295
226.848,-3.14427,-0.28472,0.924569,-3.012
226.879,-3.10036,-0.292956,0.928481,-3.00068
226.909,-3.05746,-0.301118,0.932365,-2.98971
226.939,-3.01417,-0.309469,0.936345,-2.97873
226.969,-2.97049,-0.31801,0.94042,-2.96774
226.999,-2.92642,-0.32674,0.944592,-2.95674
227.029,-2.88195,-0.33566,0.94886,-2.94573
227.059,-2.83709,-0.344768,0.953224,-2.93471
227.089,-2.79184,-0.354066,0.957683,-2.92368
227.119,-2.7462,-0.363553,0.962239,-2.91263
227.149,-2.70017,-0.373229,0.966891,-2.90158
227.179,-2.65375,-0.383094,0.971639,-2.89052
227.209,-2.60693,-0.393149,0.976482,-2.87945
227.239,-2.55972,-0.403393,0.981422,-2.86836
227.269,-2.51212,-0.413826,0.986458,-2.85727
227.299,-2.46413,-0.424448,0.99159,-2.84616
227.329,-2.41575,-0.43526,0.996817,-2.83505
227.359,-2.36366,-0.449051,0.997869,-2.82337
227.389,-2.30684,-0.466894,0.992565,-2.81088
227.419,-2.2505,-0.484462,0.987292,-2.79841
227.449,-2.19466,-0.501757,0.982052,-2.78597
227.479,-2.13931,-0.518777,0.976843,-2.77357
227.51,-2.08264,-0.536077,0.971495,-2.76077
227.54,-2.02829,-0.55254,0.966351,-2.74842
227.57,-1.97444,-0.568729,0.96124,-2.73609
227.6,-1.92108,-0.584644,0.95616,-2.72379
227.63,-1.86822,-0.600284,0.951113,-2.71152
227.66,-1.81585,-0.615651,0.946097,-2.69927
227.69,-1.76397,-0.630744,0.941114,-2.68705
227.72,-1.71258,-0.645563,0.936162,-2.67486
