time,pos_x,pos_y,pos_z,pos_phi
64.485,228.608,40.0114,88.232,10
64.495,228.626,39.6152,88.152,10
64.506,228.645,39.1795,88.064,10
64.516,228.663,38.7835,87.984,10
64.527,228.683,38.3481,87.896,10
64.537,228.701,37.9523,87.816,10
64.548,228.721,37.5171,87.728,10
64.558,228.739,37.1215,87.648,10
64.569,228.759,36.6865,87.56,10
64.58,228.779,36.2517,87.472,10
64.59,228.798,35.8565,87.392,10
64.601,228.818,35.4218,87.304,10
64.611,228.837,35.0268,87.224,10
64.622,228.857,34.5925,87.136,10
64.632,228.876,34.1977,87.056,10
64.643,228.896,33.7636,86.968,10
64.653,228.915,33.369,86.888,10
64.664,228.936,32.9352,86.8,10
64.674,228.954,32.5409,86.72,10
64.685,228.975,32.1072,86.632,10
64.696,228.995,31.6738,86.544,10
64.706,229.014,31.2798,86.464,10
64.717,229.035,30.8466,86.376,10
64.727,229.053,30.4529,86.296,10
64.738,229.074,30.02,86.208,10
64.748,229.093,29.6265,86.128,10
64.759,229.113,29.1938,86.04,10
64.769,229.131,28.8006,85.96,10
64.78,229.152,28.3683,85.872,10
64.79,229.17,27.9753,85.792,10
64.801,229.19,27.5432,85.704,10
64.811,229.209,27.1505,85.624,10
64.822,229.229,26.7187,85.536,10
64.833,229.249,26.2871,85.448,10
64.843,229.267,25.8948,85.368,10
64.854,229.287,25.4635,85.28,10
64.864,229.304,25.0715,85.2,10
64.875,229.324,24.6405,85.112,10
64.885,229.342,24.2488,85.032,10
64.896,229.361,23.8181,84.944,10
64.906,229.378,23.4267,84.864,10
64.917,229.397,22.9964,84.776,10
64.927,229.414,22.6053,84.696,10
64.938,229.433,22.1753,84.608,10
64.949,229.452,21.7454,84.52,10
64.959,229.468,21.3548,84.44,10
64.97,229.486,20.9254,84.352,10
64.98,229.503,20.5351,84.272,10
64.991,229.52,20.106,84.184,10
65.001,229.536,19.7161,84.104,10
65.012,229.554,19.2873,84.016,10
65.022,229.569,18.8978,83.936,10
65.033,229.586,18.4694,83.848,10
65.043,229.601,18.0802,83.768,10
65.054,229.618,17.6523,83.68,10
65.065,229.634,17.2246,83.592,10
65.075,229.649,16.8359,83.512,10
65.086,229.664,16.4086,83.424,10
65.096,229.679,16.0204,83.344,10
65.107,229.694,15.5935,83.256,10
65.117,229.707,15.2057,83.176,10
65.128,229.722,14.7793,83.088,10
65.138,229.735,14.3918,83.008,10
65.149,229.749,13.9659,82.92,10
65.159,229.762,13.5789,82.84,10
65.17,229.775,13.1534,82.752,10
65.18,229.787,12.7668,82.672,10
65.191,229.8,12.3419,82.584,10
65.202,229.813,11.9171,82.496,10
65.212,229.824,11.5313,82.416,10
65.223,229.836,11.1071,82.328,10
65.233,229.846,10.7217,82.248,10
65.244,229.857,10.298,82.16,10
65.254,229.867,9.9131,82.08,10
65.265,229.878,9.48997,81.992,10
65.275,229.887,9.10557,81.912,10
65.286,229.896,8.68301,81.824,10
65.296,229.905,8.29913,81.744,10
65.307,229.914,7.87716,81.656,10
65.318,229.923,7.45549,81.568,10
65.328,229.93,7.07243,81.488,10
65.339,229.938,6.65137,81.4,10
65.349,229.944,6.26888,81.32,10
65.36,229.951,5.84844,81.232,10
65.37,229.957,5.46652,81.152,10
65.381,229.963,5.04674,81.064,10
65.391,229.969,4.66541,80.984,10
65.402,229.974,4.24628,80.896,10
65.412,229.978,3.86557,80.816,10
65.423,229.983,3.44713,80.728,10
65.433,229.986,3.06704,80.648,10
65.444,229.99,2.6493,80.56,10
65.455,229.993,2.23194,80.472,10
65.465,229.995,1.85284,80.392,10
65.476,229.997,1.43621,80.304,10
65.486,229.998,1.0578,80.224,10
65.497,229.999,0.641916,80.136,10
65.507,230,0.264194,80.056,10
65.518,230,-0.150945,79.968,10
65.528,230,-0.528333,79.8882,10
65.539,229.999,-0.943551,79.8005,10
65.549,229.997,-1.3211,79.721,10
65.561,229.995,-1.77427,79.6257,10
65.572,229.993,-2.18976,79.5386,10
65.583,229.99,-2.60535,79.4517,10
65.593,229.987,-2.98324,79.3728,10
65.604,229.983,-3.399,79.2862,10
65.614,229.979,-3.77704,79.2077,10
65.625,229.975,-4.19297,79.1214,10
65.635,229.97,-4.57117,79.0431,10
65.646,229.964,-4.98727,78.9572,10
65.656,229.959,-5.36561,78.8792,10
65.667,229.953,-5.78188,78.7936,10
65.677,229.947,-6.16037,78.7159,10
65.688,229.939,-6.5768,78.6305,10
65.699,229.932,-6.99332,78.5454,10
65.709,229.925,-7.37204,78.468,10
65.72,229.916,-7.78872,78.3832,10
65.73,229.909,-8.16759,78.3061,10
65.741,229.9,-8.58444,78.2215,10
65.751,229.891,-8.96346,78.1447,10
65.762,229.881,-9.38046,78.0603,10
65.772,229.872,-9.75963,77.9838,10
65.783,229.862,-10.1768,77.8997,10
65.793,229.852,-10.5561,77.8233,10
65.804,229.841,-10.9735,77.7395,10
65.815,229.83,-11.3909,77.6558,10
65.825,229.819,-11.7704,77.5798,10
65.836,229.807,-12.188,77.4963,10
65.846,229.796,-12.5677,77.4205,10
65.857,229.784,-12.9855,77.3372,10
65.867,229.772,-13.3653,77.2616,10
65.878,229.759,-13.7833,77.1786,10
65.888,229.747,-14.1633,77.1032,10
65.899,229.733,-14.5814,77.0203,10
65.909,229.721,-14.9616,76.9451,10
65.92,229.707,-15.3798,76.8625,10
65.93,229.694,-15.7602,76.7874,10
65.941,229.679,-16.1786,76.7049,10
65.952,229.665,-16.5972,76.6226,10
65.962,229.651,-16.9778,76.5478,10
65.973,229.636,-17.3965,76.4656,10
65.983,229.622,-17.7773,76.391,10
65.994,229.607,-18.1962,76.3089,10
66.004,229.592,-18.5771,76.2344,10
66.015,229.576,-18.9963,76.1526,10
66.025,229.562,-19.3774,76.0782,10
66.036,229.545,-19.7967,75.9965,10
66.046,229.531,-20.178,75.9222,10
66.057,229.514,-20.5975,75.8406,10
66.068,229.497,-21.0172,75.7591,10
66.078,229.482,-21.3988,75.6851,10
66.089,229.465,-21.8186,75.6037,10
66.099,229.45,-22.2004,75.5297,10
66.11,229.432,-22.6205,75.4484,10
66.12,229.417,-23.0025,75.3746,10
66.131,229.399,-23.4228,75.2934,10
66.141,229.383,-23.805,75.2196,10
66.152,229.366,-24.2255,75.1385,10
66.162,229.35,-24.6079,75.0649,10
66.173,229.332,-25.0287,74.9838,10
66.183,229.316,-25.4113,74.9102,10
66.194,229.298,-25.8324,74.8293,10
66.205,229.28,-26.2535,74.7484,10
66.215,229.263,-26.6365,74.6749,10
66.226,229.245,-27.0579,74.5941,10
66.236,229.229,-27.4412,74.5206,10
66.247,229.211,-27.8628,74.4398,10
66.257,229.194,-28.2463,74.3664,10
66.268,229.176,-28.6683,74.2856,10
66.278,229.16,-29.052,74.2123,10
66.289,229.141,-29.4743,74.1315,10
66.299,229.125,-29.8583,74.0582,10
66.31,229.107,-30.2808,73.9775,10
66.321,229.089,-30.7036,73.8968,10
66.331,229.072,-31.088,73.8235,10
66.342,229.054,-31.511,73.7428,10
66.352,229.038,-31.8957,73.6695,10
66.363,229.019,-32.3191,73.5888,10
66.373,229.003,-32.7041,73.5155,10
66.384,228.985,-33.1278,73.4348,10
66.394,228.969,-33.5131,73.3614,10
66.405,228.951,-33.9371,73.2808,10
66.415,228.935,-34.3227,73.2074,10
66.426,228.917,-34.7471,73.1267,10
66.436,228.901,-35.1331,73.0533,10
66.447,228.884,-35.5578,72.9725,10
66.458,228.866,-35.9827,72.8917,10
66.468,228.851,-36.3692,72.8183,10
66.479,228.833,-36.7945,72.7374,10
66.489,228.818,-37.1814,72.6639,10
66.5,228.801,-37.6071,72.583,10
66.51,228.786,-37.9943,72.5094,10
