time,acc_theta1,acc_theta2,acc_d3,acc_theta4
64.369,-1.78021,4.22238,-4.26326e-16,2.44217
64.379,-1.75983,4.19328,-2.13163e-16,2.43345
64.39,-1.73741,4.16126,2.13163e-17,2.42385
64.4,-1.71703,4.13216,2.34479e-16,2.41513
64.411,-1.69461,4.10014,4.68958e-16,2.40553
64.421,-1.67423,4.07104,6.82121e-16,2.39681
64.432,-1.65181,4.03902,9.166e-16,2.38721
64.443,-1.62939,4.007,1.15108e-15,2.37761
64.453,-1.60901,3.9779,1.36424e-15,2.36889
64.464,-1.58659,3.94588,1.59872e-15,2.35929
64.474,-1.56621,3.91678,1.81188e-15,2.35057
64.485,-1.54379,3.88476,2.04636e-15,2.34097
64.495,-1.52341,3.85565,2.25953e-15,2.33224
64.506,-1.50099,3.82364,2.49401e-15,2.32265
64.516,-1.48061,3.79453,2.70717e-15,2.31392
64.527,-1.45819,3.76252,2.94165e-15,2.30433
64.537,-1.43781,3.73341,3.15481e-15,2.2956
64.548,-1.41539,3.70139,3.38929e-15,2.286
64.558,-1.39501,3.67229,3.60245e-15,2.27728
64.569,-1.37259,3.64027,3.83693e-15,2.26768
64.58,-1.35017,3.60826,4.07141e-15,2.25809
64.59,-1.32979,3.57915,4.28457e-15,2.24936
64.601,-1.30737,3.54713,4.51905e-15,2.23977
64.611,-1.28699,3.51803,4.73221e-15,2.23104
64.622,-1.26457,3.48601,4.96669e-15,2.22144
64.632,-1.24419,3.45691,5.17986e-15,2.21272
64.643,-1.22177,3.42489,5.41434e-15,2.20312
64.653,-1.20139,3.39578,5.6275e-15,2.1944
64.664,-1.17897,3.36377,5.86198e-15,2.1848
64.674,-1.15859,3.33466,6.07514e-15,2.17608
64.685,-1.13617,3.30265,6.30962e-15,2.16648
64.696,-1.11375,3.27063,6.5441e-15,2.15688
64.706,-1.09337,3.24152,6.75726e-15,2.14816
64.717,-1.07095,3.20951,6.99174e-15,2.13856
64.727,-1.05057,3.1804,7.2049e-15,2.12984
64.738,-1.02815,3.14839,7.43938e-15,2.12024
64.748,-1.00777,3.11928,7.65255e-15,2.11152
64.759,-0.985346,3.08726,7.88702e-15,2.10192
64.769,-0.964965,3.05816,8.10019e-15,2.09319
64.78,-0.942545,3.02614,8.33467e-15,2.0836
64.79,-0.922164,2.99704,8.54783e-15,2.07487
64.801,-0.899745,2.96502,8.78231e-15,2.06528
64.811,-0.879364,2.93592,8.99547e-15,2.05655
64.822,-0.856944,2.9039,9.22995e-15,2.04695
64.833,-0.834525,2.87188,9.46443e-15,2.03736
64.843,-0.814144,2.84278,9.67759e-15,2.02863
64.854,-0.791725,2.81076,9.91207e-15,2.01904
64.864,-0.771343,2.78166,1.01252e-14,2.01031
64.875,-0.748924,2.74964,1.03597e-14,2.00072
64.885,-0.728543,2.72053,1.05729e-14,1.99199
64.896,-0.706124,2.68852,1.08074e-14,1.98239
64.906,-0.685742,2.65941,1.10205e-14,1.97367
64.917,-0.663323,2.6274,1.1255e-14,1.96407
64.927,-0.642942,2.59829,1.14682e-14,1.95535
64.938,-0.620523,2.56627,1.17026e-14,1.94575
64.949,-0.598103,2.53426,1.19371e-14,1.93615
64.959,-0.577722,2.50515,1.21503e-14,1.92743
64.97,-0.555303,2.47314,1.23848e-14,1.91783
64.98,-0.534922,2.44403,1.25979e-14,1.90911
64.991,-0.512502,2.41201,1.28324e-14,1.89951
65.001,-0.492121,2.38291,1.30456e-14,1.89079
65.012,-0.469702,2.35089,1.328e-14,1.88119
65.022,-0.449321,2.32179,1.34932e-14,1.87247
65.033,-0.426901,2.28977,1.37277e-14,1.86287
65.043,-0.40652,2.26066,1.39408e-14,1.85414
65.054,-0.384101,2.22865,1.41753e-14,1.84455
65.065,-0.361682,2.19663,1.44098e-14,1.83495
65.075,-0.3413,2.16753,1.4623e-14,1.82623
65.086,-0.318881,2.13551,1.48574e-14,1.81663
65.096,-0.2985,2.1064,1.50706e-14,1.8079
65.107,-0.276081,2.07439,1.53051e-14,1.79831
65.117,-0.2557,2.04528,1.55183e-14,1.78958
65.128,-0.23328,2.01327,1.57527e-14,1.77999
65.138,-0.212899,1.98416,1.59659e-14,1.77126
65.149,-0.19048,1.95215,1.62004e-14,1.76167
65.159,-0.170099,1.92304,1.64135e-14,1.75294
65.17,-0.147679,1.89102,1.6648e-14,1.74334
65.18,-0.127298,1.86192,1.68612e-14,1.73462
65.191,-0.104879,1.8299,1.70957e-14,1.72502
65.202,-0.0824595,1.79789,1.73301e-14,1.71543
65.212,-0.0620783,1.76878,1.75433e-14,1.7067
65.223,-0.039659,1.73676,1.77778e-14,1.6971
65.233,-0.0192778,1.70766,1.79909e-14,1.68838
65.244,0.00314149,1.67564,1.82254e-14,1.67878
65.254,0.0235227,1.64654,1.84386e-14,1.67006
65.265,0.045942,1.61452,1.86731e-14,1.66046
65.275,0.0663232,1.58541,1.88862e-14,1.65174
65.286,0.0887425,1.5534,1.91207e-14,1.64214
65.296,0.109124,1.52429,1.93339e-14,1.63342
