time,pos_x,pos_y,pos_z,pos_phi
229.192,224.858,-58.1601,78.4299,1.27104
229.222,224.791,-58.1608,78.4079,1.30953
229.252,224.725,-58.1585,78.3861,1.34812
229.282,224.66,-58.153,78.3643,1.38727
229.312,224.595,-58.1445,78.3427,1.42685
229.342,224.531,-58.133,78.321,1.46702
229.372,224.468,-58.1186,78.2996,1.50738
229.403,224.404,-58.1008,78.2775,1.5496
229.433,224.342,-58.0807,78.2563,1.59073
229.463,224.281,-58.0577,78.2351,1.63246
229.493,224.221,-58.0319,78.2138,1.67489
229.523,224.162,-58.0038,78.1929,1.71712
229.553,224.103,-57.973,78.1721,1.75989
229.583,224.045,-57.9395,78.1512,1.8032
229.613,223.988,-57.9032,78.1303,1.84723
229.643,223.932,-57.8653,78.1098,1.89079
229.673,223.876,-57.8243,78.0891,1.93543
229.703,223.822,-57.7816,78.0689,1.97967
229.733,223.768,-57.736,78.0484,2.02496
229.763,223.715,-57.6884,78.028,2.07042
229.793,223.662,-57.6385,78.0077,2.11634
229.823,223.61,-57.5862,77.9874,2.1628
229.853,223.56,-57.5332,77.9677,2.2084
229.883,223.509,-57.4766,77.9475,2.25566
229.913,223.461,-57.4191,77.9277,2.30233
229.943,223.41,-57.357,77.9071,2.35156
229.973,223.363,-57.2957,77.8875,2.39887
230.004,223.316,-57.2319,77.8677,2.44713
230.034,223.27,-57.166,77.848,2.4958
230.064,223.225,-57.0994,77.8286,2.54407
230.094,223.179,-57.0292,77.8087,2.59406
230.124,223.134,-56.9553,77.7883,2.64573
230.154,223.095,-56.8898,77.7707,2.69082
230.184,223.052,-56.8156,77.7512,2.74113
230.214,223.012,-56.741,77.732,2.79092
230.244,222.972,-56.6653,77.713,2.84085
230.274,222.932,-56.5876,77.6939,2.89147
230.304,222.894,-56.5088,77.6749,2.9422
230.334,222.856,-56.4289,77.656,2.99305
230.364,222.819,-56.347,77.637,3.04472
230.394,222.783,-56.2659,77.6185,3.09538
230.424,222.748,-56.1821,77.5997,3.1472
230.454,222.714,-56.097,77.5809,3.19948
230.484,222.681,-56.0135,77.5627,3.2504
230.514,222.648,-55.927,77.5441,3.30275
230.544,222.617,-55.8398,77.5256,3.35523
230.574,222.587,-55.7538,77.5076,3.40664
230.604,222.556,-55.6633,77.4888,3.46051
230.635,222.526,-55.5708,77.4699,3.5153
